,RATING,CUT_COMMENT
117,1.0,"又 是 陪妈 看剧 系列 又 是 无力 吐槽 首先 我 真的 受不了 女主 的 声音 嗲得 让 人 恶心 这 口音 是 台湾 的 吗 她 叫 奶奶 的 声音 真的 又 奇怪 又 难听 而且 她 还 很 zz 傻 逼 兮兮 地 随便 吃 野果 中毒 进 医院 现实 中真 有 这么 zz 的 人 吗 路上 什么 不 知名 的 野果 都 能 随便 乱 吃 
 新吐槽 女主 时不时 来个 耶 说话 老是 加 一个 哦 看着 好 烦人"
118,2.0,烂片 听到 女主角 说话 就 想 掐死 他
119,3.0,国产 低成本 爱情 剧 背景音乐 确实 很 好听 结局 很 圆满
120,3.0,什么 感人 的 烂片 啊 不过 女主 还是 很正 就是 了
121,5.0,女主 口音 有点 做作 文艺 乔 最后 一笑 萌化 我 了
122,5.0,喜欢
123,4.0,剧情 有点像 回到 爱 开始 的 地方 男女 主角 都 好好看 哇
124,3.0,嗯
125,1.0,这 女主角 一 开口 我 就 凌乱 了 狗血 琼瑶 剧 题材 类似 的 孔雀 眼 感觉 要 拍 得 自然 很多 我要 blacklist 尤小刚
126,2.0,小 清新 故事 可以 对白 不行 演技 也 一般 没有 高低 起伏 看 完心 如 死水 感觉 原来 我 也 是 可以 去 做 电影 _     开个 玩笑
127,1.0,"一分 给 男主 的 美貌 
 哈哈哈 哈哈"
128,2.0,这种 2b 电影 实在 无法 看 下去 了 那 对白 简直 就是 在 背书 男主住 那么 大 的 房子 却 骑个 小 摩托 让 屌丝 们 情 何以堪 女主 却 像 个 傻 逼 在 山上 乱 吃 野果 中毒 看 了 半小时 果断 看不下去 了
129,3.0,徐海 乔 的 演技 很 好   人设 也 很 苏   对 女主 比较 崩溃   又 作 又 矫情   电影 立意 还好   就是 剧情 太 简单
130,1.0,纯粹 为了 乔叔 美颜 来 的 一星 为 乔叔
131,5.0,男主 真的 是 清纯 文艺 秀气 到 了 极致 啊 用 徐海 乔 的 脸 带入 吴邪 相当 和谐 有没有 我 以前 看 不 进去 盗墓 笔记 的 结果 就 因为 这个 看 下去 了
132,2.0,可以
133,3.0,剧情 过于 简单
134,2.0,怎么 说 呢 还行
136,3.0,好好笑 意想不到 的 效果 母大狼
137,4.0,挺 好看 的 电影 好 几次 都 令人 忍俊不禁 剧本 不错 虽然 蹩脚 的 方言 令人 不爽 但 瑕不掩瑜
138,2.0,正
139,3.0,女 连长 不错
140,3.0,挺 有意思 女 连长 可爱 的 长得 好像 阿 sa
141,2.0,呵呵 沙发 还行 吧 就是 搞笑 于 我 而言 假
142,2.0,呃 去 边境 就 分手 啊 不过 这个 女 连长 是 真的 哦
143,1.0,不想 说
144,3.0,为 中国 军人 特别 是 女 军人 点个 赞
145,3.0,真的 可能 有 女 连长 吗
146,1.0,幼稚 之 至 演员 全都 是 业余 的 居然 没有 请 一些 真正 的 军人 做群 演大 败笔 大家 看看 最后 几分钟 的 所谓 大比武 红蓝 攻防 简直 比 电视剧 里 玩 打 家家 的 人 还 业余 笑 到 我 肚子疼 还有 那军 礼敬 得 也 够 假无语
147,4.0,还 可以 吧 展现 边防连 中国 军人 的 生活 日常 让 更 多 百姓 了解 到 其中 的 不易 和 艰辛 并且 珍惜 眼前 的 幸福生活
150,3.0,在 最后 比武 攻 阵地 时 也 太假 了 还有 攻 上 阵地 时 还 拍 了 两个 解放军 举手 投降 的 镜头 看着 特别 不 舒服
151,4.0,看到 的 第五个 版本 的 包法利 美国 果然 最 花哨 舞会 成 了 最 浓墨 的 一笔 不过 我 还 真 就 料到 如此 了
152,3.0,一看 开头 和 结尾 就 觉得 这 真是 好莱坞 的 改编 剧本 就 差 脸蛋 上 镌 两 坨 大 字儿 耶耶 我会 讲故事 可 我 还是 看 恶心 了 很 讨厌 这版 的 包法利 嗯 你 的 效果 达到 了
153,4.0,全洁版 的 包法利 夫人 可惜 人物 刻画 还是 太 平面 了 老电影 光听 配乐 都 能 听 出来 可惜 的 甚至 不是 飞蛾扑火 而亡 而是 根本 没有 飞入 火焰 中 的 能力 光影 流动 哦 其实 这 不是 已经 开始 预示 消费 社会 中 特有 的 女性 的 悲剧 命运 了 吗
154,2.0,40 年代 末 的 电影 无论 片头 以 福楼拜 的 身份 如何 为 爱玛 叫屈 整个 影片 呈现出 的 依旧 是 一个 蛇蝎 女主 的 自作自受 史倒 是 和 这 一时期 盛行 的 黑色 电影 遥相呼应 过度 美化 的 丈夫 和 家庭 边缘化 的 渣 男 和 社会 利欲熏心 心比天高 的 女主 怎么 想 都 是 差评 两星 给 当时 已然 成熟 的 摄影
155,3.0,相比 小说 而言 电影 的 情节 像是 高潮 段落 的 堆砌 而 省略 了 过渡 和 铺垫 心理 甚至 情爱 描写 的 不足 让 包法利 夫人 形同 一具 没有 灵魂 的 拜金 机器 连其 倾倒 众生 的 魅力 都 显得 缺乏 因由 引入 福楼拜 的 法庭 自辩 也 无助于 让 观众 对 他 的 女主角 产生 丝毫 同情
156,5.0,还 记得 是 大学 全班 儿 就 我 一个 人去 听 Jason 外教 每周 四 晚上 的 口语 交流 课   他 给 我们 放 了 这 片儿 我 觉得 好看 极了 虽然 没有 拜读 过 原著 但 这版 所 呈现 的 包法利 夫人 也 不差毫厘 了
157,4.0,如果 她 可以 满足 的 呆 在 乡村 爱 Charles 是不是 不会 有 后来 的 悲剧 她 活 在 美好 的 幻想力 而 现实 的 平淡无奇 让 她 渴望 更 美好 的 生活 而且 一旦 爱 了 就 不顾一切 只是 男人 的 诺言 怎能 如此 轻易 去 相信 那些 男人 不 在 单纯 可 她 却 依然 单纯 每个 少女 都 仍 有 做梦 的 权利 直到 很多很多 的 经历 把 那些 梦 粉碎 她 死 得 那么 早 因为 梦碎 得 太快 Too   beautiful   to   live   too   young   to   die
158,3.0,美丽 是 件 错事 吗 这句 台词 是 包法利 夫人 临死前 问 自己 丈夫 的 我 倒 是 很 想 给 她 个 答案 想要 美好 的 事物 不是 错 但是 人 出身 于 什么 阶层 却是 无法 改变 的 就算 是 在 向往 美好 最后 也 是 心比天高 命比纸薄 这样 的 不 甘心 只会 贻害 终生 改编 后 的 电影 比 福楼拜 的 原著 要 简单 的 多 路易斯 乔丹 又 演 了 一回 花花公子
159,4.0,福楼拜 的 永恒 经典电影 版改 了 些 情节 比如 跛子 的 手术 也 更 戏剧化 但 还是 好 故事 is   it   a   crime   to   want   something   beautiful
160,3.0,少 了 点 神马 PS 对 Jennifer   Jones 的 颜无 好感
161,2.0,虽然 把 福楼拜 都 抬出来 了 但 依旧 是 男性 视角 夏尔 医生 变得 有 了 男子 气概 省略 了 莱昂 的 爱情 基础 罗 多尔 夫 彻底 现实 冰冷 毫无 魅力 于是 包法利 夫人 就 变成 一个 自作自受 的 可怜虫 而已
162,4.0,一个 文艺 女 青年 悲惨 的 一生 舞会 那段 特 喜欢
163,2.0,恕 我 俗气 get 不到 名著 的 点 这个 no   zuo   no   die 的 女主有 什么 好 同情 的 控制 不住 自己 的 欲望 还 叫 人 吗 还 好意思 归咎于 社会风气 吸 丈夫 的 血 对 女儿 不管不顾 算 什么 狗屁 时代 悲剧 乞讨 爱情 虚荣 购物 最后 宁可 欠债 消费 也 叫 女性 魅力 祝 圣母 都 有 个 这样 的 妈
165,4.0,Van   Hefflin   演 医生 帅 了 点 Jordan 真是 花花公子 专业户 谁 叫 他 长得帅 又 是 法国人 呢
166,4.0,珍妮弗 琼斯 开发 出 了 潜藏 气质 对 一个 善女 专业户 是 大 突破 赫夫林 是 另 一个 反面 遗憾 开发 未果 以往 名著 讨喜 不易 但 包法利 夫人 发梦 格外 吸引 人
167,3.0,ʕ ʕ ʕ ʔ ʕ ʔ ʔ ʔ 打卡
168,4.0,1 直借 福楼拜 之口 传达 对 肤浅 的 浪漫主义 和 时代 的 批判 整体 改编 节奏 流畅 且 细节 精准 2 舞会 段 极佳 与 路易斯 乔丹 起舞 只见 堂皇 装饰 陶醉 于 浮华 但 虚假 的 镜 中 自我 映像 一个 镜头 就 能 拍出 那种 强烈 而 变态 的 迷恋 再 至 后 段 破镜 警示 与 容颜 衰败 3 对 名利 求 而 不得 引起 肉体 欲望 她 实际上 只爱 虚荣 一个 男人 也 不 爱 4 与 同 时期 的 嘉莉 妹妹 在 某些 主题 上 存在 相同之处 但 明奈利 对 主题 的 掌握 和 呈现 远胜 威廉 惠勒
169,4.0,"1 女孩子 看一看 文艺 爱好者 Emma   Bovary 悲惨 的 一生 服 砒霜 自尽 arsenicIt   is   a   storybook 
 2There   isnt   something   wrong   with   things   being   beautiful   is   it 想要 美好 的 事物 不是 错要 学会 控制 欲望 珍惜 拥有 出身 阶层 是 天花板   37 度 2 巴黎 野玫瑰 相似 
 3I   was   afraid   of   you   You   asked   for   something   that   consumes   while   it   burns   that   destroys   everything   it   touches   I   didnt   want   to   be   destroyed 
 4 男人 被 女人 裹挟 着 往前走 可怜 Do   y"
170,3.0,三星 半
171,4.0,小姐 你 的 熊掉 了
172,5.0,小姐 你 的 熊掉 了
173,5.0,小姐 你 的 熊掉 了 的 熊掉 了 熊掉 了 掉 了 了 师傅 的 恋爱 如同 暴风雨 o ツ 拍桌 狂笑
174,4.0,这个 师傅 太 可爱 了
175,4.0,lol   小姐 你 的 熊掉 了       哈哈哈 哈哈哈
176,5.0,师匠 萌到 爆 啊
177,5.0,小姐 你 的 熊掉 了 o ツ
178,5.0,这位 小姐 你 忘 了 你 的 熊       lol
179,3.0,荒诞派
180,5.0,哈哈哈哈 小姐 你 的 熊掉 了
181,4.0,果然 是 师傅
182,4.0,囧 货
184,4.0,好笑
185,4.0,期待 啊   师傅
186,5.0,我 对 师傅 的 崇敬 不是 三言两语 能 说完 的
187,4.0,等 一下   你 的 熊掉 了
188,4.0,啊 这 就 说 的 通 了 师傅 年轻 的 时候 和 爱德华 还 真 像 师丈 年轻 的 时候 还 有点儿 像 大总统 啊
189,4.0,森森 赛高
190,4.0,师傅 的 悟道 也 是 很 不 容易 滴
191,4.0,昨天 听 了 同名 歌曲 听说 主创 拍 了 同名 电影 一个 兴起 搜索 了 一下 直到 看 完才 知道 此非 彼 囧 大清早 看 的 虽然 基本 从 开头 就 能 猜 到 结尾 人物 情节 都 很 简单 也 深知 只是 一种 理想 状态 的 故事 没想到 最后 还是 被 深深 打动 了 半个 小时 过去 了 还 在 慢慢 平复 当中
192,4.0,很 不错 的 一部 剧 很 感人 值得一看
193,4.0,要不是 因为 徐海 乔 我 才 不 看 乔叔 在 里面 是 原声 那 声音 我 已经 录制 了 音频 了 女主 直接 被 我 屏蔽 了 那个 时候 乔叔 好 可爱 好嫩
195,4.0,太 治愈 了 虽然 女主 的 声音 演技 分 分钟 让 人 出戏 但是 乔 整体 很 稳是 部 很 暖 很 文艺 的 片子 尤其 是 诗词 的 渲染 突然 发现自己 还有 很多 需要 学习 内化 的 东西
196,5.0,超级 喜欢 露白 这样 的 男人 是 我 的 就 好 了
197,3.0,老实 说 我 不 喜欢 女主 的 声音 男主 很 有 书卷气 女二演 过 新 还 珠
198,5.0,很 感人
199,4.0,女主 的 声音 我 受不了 其他 还好
203,3.0,凭着 想 听 乔叔 的 娃娃 音看 完 了 整部 电影 表示 女主好 尴尬 女二 都 比 女主好
204,1.0,哈哈 也 就 普通 大学 社团 演戏 的 水准 太假 了
206,2.0,莫失 莫忘 相携 永昌
207,1.0,"这片 我 也 是 醉 了 
 一星 给 徐海 乔"
208,4.0,小 清新 感觉 的 电影
209,2.0,讨厌 有 口音 的 东东 狗血 剧 末尾 还 勉强 看 一下
210,4.0,很 喜欢 看 这种 文艺片 特别 喜欢 徐海 乔 的 露白 这部 电影 里 他 是 原音 的 真的 很 适合 男主 男主 露白 妥妥 的 初恋情人 的 类型 温柔 细致 有点 忧郁 又 多情 善良 的 大 男孩 和 祖母 谈话 时 落泪 那里 被 感动 了 很 温情 温馨 的 感觉 就 像是 午后 时光 里 的 下午茶 可以 细细品味 慢慢 享受
211,4.0,40
212,4.0,约瑟夫 罗西 的 静态 暴力 和 布莱希特 的 间 离 效果 结合 得 马马虎虎
213,3.0,入赘 女婿 鳗鱼 店 传承 的 秘制 酱汁 离家出走 的 女儿 什么 都 不会 大学 毕 不了 业 的 儿子 因为 500 万 这个 故事 有个 美好 的 开始 店铺 和 家人 哪个 更 重要 被忽视 被 排斥 设立 了 屏障 打碎 了 酱汁 却 修补 了 僵持 的 关系 家人 就是 比 谁 都 爱 你
214,3.0,为了 鳗鱼 饭 给 的 三星 TAT
215,3.0,我 真的 不是 长泽黑 但 演技 还 没有 剧中 的 演 她 儿子 的 演技 好
216,3.0,卖点 是 亲情 对 我 来讲 真是 毫无 亮点 的 一个 SP 不过 柄 木佑 竟然 是 演 好人 这点 就要 感动 了 一下 了 吧 嗯
217,3.0,真想 吃 鳗鱼 饭 啊
218,3.0,長 澤 ま さ み   好 漂亮 啊   然后   想 吃 鳗鱼 饭 啊
219,2.0,矫情
220,3.0,家庭 小 温情
221,2.0,没有 那 谁 我 是 不会 看 的
222,3.0,20130303   Xperia   TX
223,4.0,好 温馨
224,3.0,实在 是 一般 故事 为了 完成 大团圆 的 结局 达到 温情 一把 的 目的 对 剧情 的 编纂 实在 过头 了 尤其 女婿 浪子回头 的 段落 masami 美则 美 矣 角色 却 相当 不招 人 喜欢 犹是 如此 老 老 小小 们 也 还 算 勉强 完成 了 治愈 目标 剧名 什么 的 反而 有 爱多 了
225,4.0,又 是 小 温馨
226,3.0,剧情 的话   真的 不 太合 我 口味   如果 不是 masami 我 都 不会 看 完 的 吧
227,3.0,快 对 这种 温馨 版 的 既定 模式 免疫 了 好 在 够 短
228,5.0,最 喜欢 这种 特别 生活化 的 温馨 喜剧
229,4.0,MA 酱 的 腿 特 嗲 了 伐   爸爸 教育 KAMEIKIJI 的 时候 滿 感人 哒
230,1.0,甜心 的 演技 啊 硬伤 啊
232,4.0,话 说 鳗鱼 饭 吃 起来 很 无聊 啊
233,5.0,小姐 你 的 熊
234,5.0,小姐 你 的 熊掉 了
235,3.0,不行 了
236,5.0,哈哈哈 哈哈 你 的 熊掉 了 哈哈哈 哈哈哈 哈哈哈
237,4.0,201071   土豆网
238,5.0,又 厉害 又 搞笑 又 可爱 又 温柔 布里格斯 的 那个 女人 真是 不 简单 哈哈哈哈
240,4.0,彪悍 雄壯 的 主婦 是 如何 踏上 煉金 朮 之路 的 呢 請 回到 18 嵗 青春年少 的 回憶 之中 yyd 惡 搞 無 下限 啊 這是 忽然 覺得 愛 力克 兩 兄弟 當年 的 荒島 求存 1 個 月 甚 冤枉 哉
241,5.0,这 一集 日式 复古 风格 的 细节 好 喜欢   初恋 笑 死 我 了
243,5.0,小姐   你 的 熊掉 了
244,3.0,小姐   你 的 熊掉 了
245,5.0,小姐 你 的 熊掉 了 哈哈哈
246,4.0,师傅 霸气 外露 了
247,5.0,哈哈哈 在 剧情 差不多 忘记 光 的 情况 下 还是 被 师傅 炸 出来 了
248,5.0,原来 主妇 还有 这么 青葱 的 岁月 呀 哈哈哈 小姐 这 是 你 掉 的 熊 吗 啊 哈哈哈
249,5.0,你 忘 了 你 的 熊
250,5.0,小姐 你 的 熊掉 了
251,5.0,小姐 你 的 熊掉 了
252,3.0,爱情 的 自恋
253,2.0,2014   欧盟 影展   第七场   崇高 的 信仰   无望 的 爱情
254,3.0,37
255,3.0,部分 声音 先导 及 剪辑 颇 有 特点
256,5.0,爱玛 怎么 会 那么 美 不 不会 但 可以 肯定 的 是 在 夏尔 里昂 眼中 的确 这样 美 这个 女人 是 个 梦 人人 都 迫不及待 的 踏入 这场 梦
257,3.0,这一版 呈现 包法利 夫人 的 形象 还 可以   舞会 那里 最 花销   果然 美国 人 的 拍法
258,3.0,包法利 夫人 的 扮演者 太 缺乏 颜了
259,5.0,诶 老公 如此 好 实在 不 应该 啦
260,4.0,愛海 只 愛海 的 驚濤 駭浪 愛 青草 僅僅 愛它 遍生 於 廢墟 之間 她 必須 從 事物 得到 一種 切身利益 凡 不 直接 有利於 她 情感 發洩 的 她 就 看成 無用 之物棄 之 不 顧正 因為 天性 多感遠 在 藝術 愛好 之上 她 尋找 的 是 情緒 並非 風景
261,4.0,女主角 美翻 了 包法利 夫人 简单 的 说 就是 个 文艺 女 青年 用 生命 演戏 的 故事
262,3.0,舞会 那 一场 还 可以 明 里尼 就是 适合 拍 歌舞片
263,4.0,五六年 前 在 学校 报告厅 看 的 那 时候 看过 的 影片 印象 都 好 深刻
264,4.0,珍妮弗 琼斯 太美 了 开场 穿着 白裙 煎蛋 的 场景 太 难忘 整体 的 感觉 都 还好 但是 看 小说 还是 更 有 代入 感 一点 福楼拜 的 文字 电影 表达 不 出 多少 来
265,3.0,果然 只有 舞會 拍 得 出彩
266,4.0,我 认为 这是 最佳 版本
267,4.0,"爱玛 是 一位 美丽 浪漫 的 女子 嫁给 平庸 本份 的 乡镇 医生 包法利 成为 了 包法利 夫人 由于 受过 贵族 教育 她 迷恋 浪漫主义 一心 追求 奢华 的 生活 为了 取悦 情人 包法利 夫人 欠下 巨债 面对 情人 的 抛弃 债主 的 追债 她 走投无路 服 砒霜 自杀 
 
 主演 珍妮弗 琼斯 在 黑白片 中极美 那个 时代 的 女明星 没有 人工 雕琢 的 痕"
268,4.0,影片 做 了 很多 改编 子爵 和 罗 多尔 夫 合二为一 包法利 最后 没有 给 跛足 的 杂役 做手术 他 也 很 早就 觉察到 爱玛 的 出轨 这样一来 包法利 这个 人物形象 就 大打折扣 了 最后 打 了 爱玛 一巴掌 变成 一个 道德 的 捍卫者 加上 举手投足 十足 的 美国 人 腔调 与 原著 大相径庭 优点 是 剧中 的 舞会 画面 非常 精致 漂亮
269,4.0,舞会 真 美
270,3.0,灰姑娘 那条 裙子 是 包法利 夫人 穿过 的 吧
271,4.0,一个 人 的 经历 没有 什么 是 多余 后天 培养 因素 中 环境 重要性 NO1
272,3.0,片名 可以 改叫   福楼拜 新 说 包法利 夫人 艾玛 很 乐意 嫁给 查理 查理 拒绝 做 矫治 手术 并且 发现 了 艾玛 和 罗 道尔 弗 的 出逃 很多 奇怪 且 意义 不明 的 改编 整个 故事 已经 没有 前因后果 的 牵连 了 并且 女主长 得 很 奇怪 服装 好看
273,4.0,把 小说 当 现实 的 堂吉诃德 浪漫主义 的 解构 Emma 让 人 爱 不 起来 也 恨 不 起来 舞会 那段 很 精彩 把 Emma 的 个性 表现 得 很 到位
274,3.0,49 版 算是 最 经典 了   比 14 翻拍 的 好 很多   不切实际 的 浪漫主义 拜金女 青年 花样 作 死   做人 不能 太 包法利 夫人   舞会 的 戏 是 亮点
